Experiment_Index,Type,Ventilation_Rate,AMPAS_Interval,Location,conc_ppb
1,55mm,1.5,30,1,1004.026
1,55mm,1.5,30,1,1435.575
1,55mm,1.5,30,2,1435.206
1,55mm,1.5,30,2,1471.017
1,55mm,1.5,30,3,1348.918
1,55mm,1.5,30,3,989.89
1,55mm,1.5,30,4,930.087
1,55mm,1.5,30,4,798.708
1,55mm,1.5,30,5,960.406
1,55mm,1.5,30,5,1383.641
1,55mm,1.5,30,6,942.787
1,55mm,1.5,30,6,733.229
1,55mm,1.5,30,7,554.987
1,55mm,1.5,30,7,613.268
1,55mm,1.5,30,8,664.52
1,55mm,1.5,30,8,776.923
1,55mm,1.5,30,9,812.965
1,55mm,1.5,30,9,785.973
1,90mm,1.5,30,1,759.828
1,90mm,1.5,30,1,861.055
1,90mm,1.5,30,2,703.502
1,90mm,1.5,30,2,595.437
1,90mm,1.5,30,3,626.234
1,90mm,1.5,30,3,635.573
1,90mm,1.5,30,4,663.781
1,90mm,1.5,30,4,642.641
1,90mm,1.5,30,5,1909.505
1,90mm,1.5,30,5,980.928
1,90mm,1.5,30,6,920.887
1,90mm,1.5,30,6,1012.033
1,90mm,1.5,30,7,887.094
1,90mm,1.5,30,7,721.323
1,90mm,1.5,30,8,1065.242
1,90mm,1.5,30,8,943.202
1,90mm,1.5,30,9,1066.024
1,90mm,1.5,30,9,1055.062
5,55mm,1.5,60,1,1317.885
5,55mm,1.5,60,1,1284.992
5,55mm,1.5,60,2,1294.975
5,55mm,1.5,60,2,1249.336
5,55mm,1.5,60,3,779.811
5,55mm,1.5,60,3,777.265
5,55mm,1.5,60,4,1329.711
5,55mm,1.5,60,4,1408.872
5,55mm,1.5,60,5,2893.179
5,55mm,1.5,60,5,10063.818
5,55mm,1.5,60,6,1336.881
5,55mm,1.5,60,6,1354.48
5,55mm,1.5,60,7,1520.591
5,55mm,1.5,60,7,1226.421
5,55mm,1.5,60,8,2086.348
5,55mm,1.5,60,8,1769.215
5,55mm,1.5,60,9,1753.428
5,55mm,1.5,60,9,1712.908
5,90mm,1.5,60,1,1274.851
5,90mm,1.5,60,1,1461.375
5,90mm,1.5,60,2,1280.529
5,90mm,1.5,60,2,1655.168
5,90mm,1.5,60,3,1196.626
5,90mm,1.5,60,3,1089.044
5,90mm,1.5,60,4,1611.054
5,90mm,1.5,60,4,1606.455
5,90mm,1.5,60,5,4621.817
5,90mm,1.5,60,5,5063.216
5,90mm,1.5,60,6,1670.977
5,90mm,1.5,60,6,1701.773333
5,90mm,1.5,60,7,1598.434
5,90mm,1.5,60,7,1586.151
5,90mm,1.5,60,8,2307.26
5,90mm,1.5,60,8,2099.754
5,90mm,1.5,60,9,2150.654
5,90mm,1.5,60,9,2151.613
10,55mm,10,30,1,343.0676
10,55mm,10,30,1,412.8735
10,55mm,10,30,2,476.4159
10,55mm,10,30,2,328.0397
10,55mm,10,30,3,399.2299
10,55mm,10,30,3,369.629
10,55mm,10,30,4,374.2861
10,55mm,10,30,4,437.1815
10,55mm,10,30,5,2616.0893
10,55mm,10,30,5,5801.6309
10,55mm,10,30,6,425.5537
10,55mm,10,30,6,408.6725
10,55mm,10,30,7,392.6243
10,55mm,10,30,7,482.5054
10,55mm,10,30,8,351.3516
10,55mm,10,30,8,403.2091
10,55mm,10,30,9,433.5878
10,55mm,10,30,9,374.092
10,90mm,10,30,1,369.5328
10,90mm,10,30,1,390.2031
10,90mm,10,30,2,384.5763
10,90mm,10,30,2,387.5207
10,90mm,10,30,3,387.9505
10,90mm,10,30,3,393.661
10,90mm,10,30,4,407.7657
10,90mm,10,30,4,421.8481
10,90mm,10,30,5,5740.7984
10,90mm,10,30,5,6300.7097
10,90mm,10,30,6,388.5631
10,90mm,10,30,6,411.1403
10,90mm,10,30,7,456.6117
10,90mm,10,30,7,420.5647
10,90mm,10,30,8,357.0549
10,90mm,10,30,8,389.0778
10,90mm,10,30,9,362.5105
10,90mm,10,30,9,423.1323
9,55mm,10,60,1,586.7163
9,55mm,10,60,1,622.3335
9,55mm,10,60,2,551.1635
9,55mm,10,60,2,572.5487
9,55mm,10,60,3,545.7893
9,55mm,10,60,3,606.3804
9,55mm,10,60,4,648.4997
9,55mm,10,60,4,681.9736
9,55mm,10,60,5,7476.3687
9,55mm,10,60,5,4579.1965
9,55mm,10,60,6,669.8835
9,55mm,10,60,6,671.1616
9,55mm,10,60,7,722.8302
9,55mm,10,60,7,706.2922
9,55mm,10,60,8,670.9365
9,55mm,10,60,8,645.9071
9,55mm,10,60,9,679.5838
9,55mm,10,60,9,612.7877
9,90mm,10,60,1,630.895
9,90mm,10,60,1,631.1053
9,90mm,10,60,2,639.9378
9,90mm,10,60,2,709.7525
9,90mm,10,60,3,582.2658
9,90mm,10,60,3,721.0053
9,90mm,10,60,4,764.0105
9,90mm,10,60,4,678.0335
9,90mm,10,60,5,7107.9825
9,90mm,10,60,5,3628.7452
9,90mm,10,60,6,682.2877
9,90mm,10,60,6,723.9974
9,90mm,10,60,7,832.8604
9,90mm,10,60,7,727.4686
9,90mm,10,60,8,775.0775
9,90mm,10,60,8,702.8964
9,90mm,10,60,9,774.3012
9,90mm,10,60,9,662.1286
