0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
7,45,91,88,231,328,240,60,44,11,3,1,2,0,0,0,0,0,0,0,0,0,0,0
8,40,88,72,196,306,256,68,45,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0
8,44,85,87,205,320,267,67,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,49,87,65,206,295,275,58,35,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,73,57,156,287,244,59,41,14,5,1,1,0,0,0,0,0,0,0,0,0,0,0
12,56,93,61,215,307,307,68,55,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0
6,23,69,69,186,275,264,70,44,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
5,46,88,68,216,318,267,31,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,45,93,61,261,316,265,52,26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,123,104,224,360,241,51,40,11,1,7,0,0,0,0,0,0,0,0,0,0,0,0
8,46,106,78,252,329,275,68,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,36,90,74,198,315,299,56,31,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,79,68,203,304,274,62,34,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46,98,82,210,293,228,60,37,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,43,76,71,222,325,264,60,50,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0
5,48,102,66,216,315,238,62,39,12,3,1,0,1,0,0,0,0,0,0,0,0,0,0
11,47,100,92,234,314,250,58,37,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,52,111,97,223,326,226,80,34,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,52,105,74,224,311,263,59,43,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
12,62,112,92,220,326,213,57,34,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0
4,48,95,63,210,330,245,47,49,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,65,98,62,209,301,269,59,41,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
11,50,102,79,234,342,228,51,42,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0
3,38,81,73,189,295,249,55,41,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0
5,45,82,69,259,273,242,44,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,56,90,69,200,282,301,62,43,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0
